fold,seed,house,appliance,tp,tn,fp,fn,eligible_positive_support,eligible_negative_support,excluded_unavailable_count,precision,recall,f1,binary_accuracy,precision_zero_denominator,recall_zero_denominator,f1_zero_denominator,accuracy_zero_denominator,matched_target_episode_count,unmatched_target_episode_count,duplicate_candidate_count,candidate_count,episode_coverage,episode_coverage_zero_denominator,excluded_reasons_json
F4,3,H3,dish washer,1,433,13,5,6,446,0,0.07142857142857142,0.16666666666666666,0.1,0.9601769911504425,False,False,False,False,6,0,20,452,1.0,False,{}
F4,3,H5,dish washer,0,18,1,0,0,19,0,0.0,0.0,0.0,0.9473684210526315,False,True,False,False,0,0,0,19,0.0,True,{}
F4,3,H6,dish washer,0,40,0,0,0,40,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,40,0.0,True,{}
F4,3,ALL,dish washer,11,613,17,41,52,630,8,0.39285714285714285,0.21153846153846154,0.275,0.9149560117302052,False,False,False,False,51,1,33,689,0.9807692307692307,False,"{""incomplete_one_sample"":8}"
F4,4,H1,fridge,12,126,10,55,67,136,4,0.5454545454545454,0.1791044776119403,0.2696629213483146,0.6798029556650246,False,False,False,False,38,29,74,178,0.5671641791044776,False,"{""incomplete_one_sample"":4}"
F4,4,H3,fridge,28,363,9,64,92,372,9,0.7567567567567568,0.30434782608695654,0.43410852713178294,0.8426724137931034,False,False,False,False,71,21,206,452,0.7717391304347826,False,"{""incomplete_one_sample"":8,""right_censored"":1}"
F4,4,H5,fridge,0,16,0,4,4,16,0,0.0,0.0,0.0,0.8,True,False,False,False,3,1,12,19,0.75,False,{}
F4,4,H6,fridge,7,18,1,40,47,19,0,0.875,0.14893617021276595,0.2545454545454545,0.3787878787878788,False,False,False,False,21,26,11,40,0.44680851063829785,False,{}
F4,4,ALL,fridge,47,523,20,163,210,543,13,0.7014925373134329,0.22380952380952382,0.33935018050541516,0.7569721115537849,False,False,False,False,133,77,303,689,0.6333333333333333,False,"{""incomplete_one_sample"":12,""right_censored"":1}"
F4,4,H1,microwave,9,140,4,15,24,144,17,0.6923076923076923,0.375,0.4864864864864865,0.8869047619047619,False,False,False,False,17,7,13,178,0.7083333333333334,False,"{""incomplete_one_sample"":17}"
F4,4,H3,microwave,1,431,13,6,7,444,1,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.9578713968957872,False,False,False,False,7,0,26,452,1.0,False,"{""incomplete_one_sample"":1}"
F4,4,H5,microwave,0,19,0,0,0,19,0,0.0,0.0,0.0,1.0,True,True,True,False,0,0,0,19,0.0,True,{}
